service_id,date,exception_type
MQ_D2-Sunday,20220905,1
MQ_D2-Sunday,20221124,1
MQ_D2-Weekday-SDon,20221010,2
MQ_D2-Weekday-SDon,20221124,2
MQ_D2-Weekday-SDon,20221125,2
MQ_D2-Weekday-SDon,20221226,2
MQ_D2-Weekday-SDon,20221227,2
MQ_D2-Weekday-SDon,20221228,2
MQ_D2-Weekday-SDon,20221229,2
MQ_D2-Weekday-SDon,20221230,2
MQ_D2-Weekday-SDon,20230102,2
MQ_D2-Weekday-SDon,20220906,2
MQ_D2-Weekday-SDon,20220907,2
MQ_D2-Weekday-SDon,20220926,2
MQ_D2-Weekday-SDon,20220927,2
MQ_D2-Weekday-SDon,20221005,2
MQ_D2-Weekday-SDon,20221108,2
MQ_D2-Weekday-SDon,20221111,2
MQ_D2-Weekday,20220906,1
MQ_D2-Weekday,20220907,1
MQ_D2-Weekday,20220926,1
MQ_D2-Weekday,20220927,1
MQ_D2-Weekday,20221005,1
MQ_D2-Weekday,20221108,1
MQ_D2-Weekday,20221111,1
MQ_D2-Saturday,20221226,1
MQ_D2-Saturday,20230102,1
MQ_O2-Weekday,20221011,2
MQ_O2-Weekday,20221012,2
MQ_O2-Weekday,20221013,2
MQ_O2-Weekday,20221014,2
MQ_O2-Weekday,20221017,2
MQ_O2-Weekday,20221018,2
MQ_O2-Weekday,20221019,2
MQ_O2-Weekday,20221020,2
MQ_O2-Weekday,20221021,2
MQ_O2-Weekday,20221024,2
MQ_O2-Weekday,20221025,2
MQ_O2-Weekday,20221026,2
MQ_O2-Weekday,20221027,2
MQ_O2-Weekday,20221028,2
MQ_O2-Weekday,20221031,2
MQ_O2-Weekday,20221101,2
MQ_O2-Weekday,20221102,2
MQ_O2-Weekday,20221103,2
MQ_O2-Weekday,20221104,2
MQ_O2-Weekday,20221107,2
MQ_O2-Weekday,20221108,2
MQ_O2-Weekday,20221109,2
MQ_O2-Weekday,20221110,2
MQ_O2-Weekday,20221111,2
MQ_O2-Weekday,20221114,2
MQ_O2-Weekday,20221115,2
MQ_O2-Weekday,20221116,2
MQ_O2-Weekday,20221117,2
