from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,245988624598883+313581+1,245988624598863+313731+0,1,
76,76,,,245988624598883+314547+1,245988624598863+315033+1,1,
124,124,,,245988624598883+313719+0,245988624598873+313573+0,1,
124,124,,,245988624598883+313790+0,245988624598873+313573+0,1,
124,124,,,245988624598883+313734+0,245988624598873+313582+0,1,
124,124,,,245988624598883+313737+0,245988624598873+313585+0,1,
124,124,,,245988624598883+313833+0,245988624598873+313591+0,1,
124,124,,,245988624598883+313746+0,245988624598873+313595+0,1,
124,124,,,245988624598883+313803+0,245988624598873+313595+0,1,
124,124,,,245988624598873+313752+0,245988624598873+313605+0,1,
124,124,,,245988624598883+313805+0,245988624598873+313605+0,1,
124,124,,,245988624598883+313808+0,245988624598873+313644+0,1,
131,131,,,245988624598883+313838+0,245988624598873+313644+0,1,
140,140,,,245988624598883+313861+0,245988624598873+313644+0,1,
124,124,,,245988624598883+313512+0,245988624598873+313648+0,1,
124,124,,,245988624598883+313562+1,245988624598873+313713+1,1,
124,124,,,245988624598883+313584+0,245988624598873+313735+0,1,
124,124,,,245988624598883+313587+0,245988624598873+313738+0,1,
124,124,,,245988624598883+313801+0,245988624598873+313741+0,1,
124,124,,,245988624598873+313589+0,245988624598873+313743+0,1,
124,124,,,245988624598883+313805+0,245988624598873+313752+0,1,
140,140,,,245988624598883+313860+0,245988624598873+313752+0,1,
124,124,,,245988624598883+313545+0,245988624598873+313818+0,1,
131,131,,,245988624598883+313680+0,245988624598873+313818+0,1,
76,76,,,245988624598883+315065+0,245988624598873+314565+0,1,
76,76,,,245988624598883+315073+0,245988624598873+314570+0,1,
76,76,,,245988624598883+314435+0,245988624598873+314756+0,1,
76,76,,,245988624598883+314124+0,245988624598873+314766+1,1,
76,76,,,245988624598883+314563+0,245988624598873+315059+0,1,
76,76,,,245988624598883+314569+0,245988624598873+315067+0,1,
33,33,,,245988624598883+315660+0,245988624598873+315180+0,1,
33,33,,,245988624598873+315662+0,245988624598873+315184+0,1,
33,33,,,245988624598883+315665+0,245988624598873+315188+0,1,
33,33,,,245988624598883+315134+0,245988624598873+315233+0,1,
33,33,,,245988624598873+315190+0,245988624598873+315666+0,1,
124,124,,,245988624598884+313719+0,245988624598874+313573+0,1,
124,124,,,245988624598884+313790+0,245988624598874+313573+0,1,
124,124,,,245988624598884+313734+0,245988624598874+313582+0,1,
124,124,,,245988624598884+313737+0,245988624598874+313585+0,1,
124,124,,,245988624598884+313833+0,245988624598874+313591+0,1,
124,124,,,245988624598884+313746+0,245988624598874+313595+0,1,
124,124,,,245988624598884+313803+0,245988624598874+313595+0,1,
124,124,,,245988624598874+313752+0,245988624598874+313605+0,1,
124,124,,,245988624598884+313805+0,245988624598874+313605+0,1,
124,124,,,245988624598884+313808+0,245988624598874+313644+0,1,
