shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1304708,40.732835597238,-74.063044568123,1,0
p_1304708,40.732434595194,-74.062877111778,2,46.72356968
p_1304708,40.732159436532,-74.062702560852,3,80.65127832
p_1304708,40.731847691706,-74.062352619713,4,126.17419649
p_1304708,40.73132879792,-74.06172774736,5,204.31996316
p_1304708,40.730882915789,-74.061252308212,6,268.07565832
p_1304708,40.730121329155,-74.060447578049,7,376.58401558
p_1304708,40.729536120052,-74.059834238098,8,459.69792309
p_1304708,40.728644136489,-74.058749917999,9,594.61470499
p_1304708,40.727484054322,-74.05756020636,10,758.00888361
p_1304708,40.726803648506,-74.056832476196,11,855.41916388
p_1304708,40.726588151454,-74.05664790213,12,883.98176494
p_1304708,40.726247923226,-74.056498342606,13,923.82038993
p_1304708,40.725976914299,-74.056408173294,14,954.86469453
p_1304708,40.725700256842,-74.056388259277,15,985.63315155
p_1304708,40.725263805463,-74.056200343933,16,1036.63431716
p_1304708,40.72477987613,-74.05587636113,17,1096.94303786
p_1304708,40.724327219938,-74.055515243408,18,1155.74391794
p_1304708,40.723965387034,-74.055106616424,19,1208.71883565
p_1304708,40.723575068922,-74.054594683884,20,1269.95087084
p_1304708,40.723110383968,-74.053993513245,21,1342.35600241
p_1304708,40.722766177983,-74.053387818802,22,1406.22867893
p_1304708,40.722485599303,-74.052623919327,23,1477.89568204
p_1304708,40.722133042706,-74.051483579376,24,1581.89090859
p_1304708,40.721960921226,-74.050522866409,25,1665.27941419
p_1304708,40.721699522389,-74.049597424606,26,1748.68257064
p_1304708,40.721416253986,-74.048697101852,27,1830.99694698
p_1304708,40.721139575941,-74.047801661377,28,1912.65239975
p_1304708,40.720880620905,-74.046948813492,29,1990.23486838
p_1304708,40.720620372745,-74.046131915344,30,2065.06040329
p_1304708,40.72036825777,-74.045240457672,31,2145.4144238
p_1304708,40.72000778875,-74.044158002655,32,2245.2476655
p_1304708,40.719763844641,-74.043377479832,33,2316.54149467
p_1304708,40.719675695876,-74.04307797057,34,2343.67448894
p_1304708,40.719616742504,-74.042809749668,35,2367.26331584
p_1304708,40.719586419515,-74.042511495701,36,2392.68699557
p_1304708,40.719513235912,-74.042476626984,37,2401.3314383
p_1304708,40.719219052446,-74.041644338623,38,2478.87025453
p_1304708,40.719029394729,-74.04105059259,39,2533.2783537
p_1304708,40.718292185025,-74.038833,40,2737.75098233
p_1304708,40.717821975948,-74.037399576721,41,2869.64130451
p_1304708,40.717392186014,-74.035696101852,42,3021.28025985
p_1304708,40.717228317999,-74.034654186508,43,3111.1765262
p_1304708,40.717157856744,-74.034271944775,44,3144.40789373
p_1304708,40.717071131815,-74.033758825726,45,3188.8200753
p_1304708,40.717001922782,-74.033178343586,46,3238.46581712
p_1304708,40.716897538582,-74.032407939812,47,3304.58441697
p_1304708,40.716828417946,-74.032456219574,48,3313.27683544
p_1304708,40.716353514742,-74.0280705728,49,3687.57390123
p_1304708,40.714447367842,-74.019565052979,50,4436.7808291
p_1304708,40.712728855589,-74.011945715622,51,5108.29032332
p_1304709,40.712712590898,-74.011934986786,1,0
p_1304709,40.714717980837,-74.018992926025,2,636.60492274
p_1304709,40.71676584561,-74.032384409718,3,1790.75280663
p_1304709,40.71688127491,-74.032370388886,4,1803.62567858
p_1304709,40.716985659135,-74.033004,5,1858.40262636
p_1304709,40.717103659063,-74.034013635582,6,1944.71126352
p_1304709,40.71718631805,-74.034430195106,7,1981.08522869
p_1304709,40.717359658907,-74.035502982803,8,2073.75035994
p_1304709,40.717691868262,-74.036997245369,9,2205.28499431
p_1304709,40.71828405336,-74.038800813492,10,2371.25723731
p_1304709,40.719114776211,-74.041383186508,11,2608.14713621
p_1304709,40.719365420216,-74.04208958532,12,2674.00264257
p_1304709,40.719501038638,-74.04248735582,13,2710.83073233
p_1304709,40.719521367428,-74.042583915344,14,2719.29569785
p_1304709,40.72023270102,-74.044888461655,15,2929.42085168
p_1304709,40.720570307705,-74.046021222229,16,3032.20855164
p_1304709,40.720777773469,-74.046642720238,17,3089.55035456
p_1304709,40.720871284058,-74.046969949738,18,3119.08352217
p_1304709,40.721220868693,-74.048048520515,19,3218.13520882
p_1304709,40.721478272358,-74.04883172422,20,3290.21682034
p_1304709,40.721855128004,-74.050086903458,21,3404.22332192
p_1304709,40.721989506993,-74.050665843269,22,3455.3623412
p_1304709,40.722158936357,-74.051474970917,23,3526.26552195
p_1304709,40.722485382644,-74.052593531769,24,3627.48410631
p_1304709,40.722702223978,-74.053275294998,25,3689.91497231
p_1304709,40.722949073394,-74.053761175949,26,3739.27662184
p_1304709,40.723595546896,-74.054626999367,27,3841.76918129
p_1304709,40.724334099715,-74.055559923309,28,3955.51811627
p_1304709,40.724810972429,-74.055908966301,29,4016.13103513
p_1304709,40.725367964914,-74.056308246063,30,4086.58467573
p_1304709,40.72576231321,-74.056475474236,31,4132.5990626
p_1304709,40.72621902499,-74.056466447113,32,4183.32200691
